Time,CIT_01,TIT_01,PIT_03,PIT_04,Stage1_Pressure_Drop,PIT_05,PIT_06,Stage2_Pressure_Drop,FIT_03,CIT_02,PIT_07,FIT_02,FIT_01
23/11/2022 00:00,3725.40,32.38,0.20,0.17,0.03,0.14,0.18,-0.03,0.33,306.25,0.10,0.00,0.08
23/11/2022 00:01,3725.80,32.38,0.20,0.17,0.03,0.14,0.18,-0.03,0.33,306.25,0.10,0.00,0.08
23/11/2022 00:02,3725.16,32.38,0.20,0.17,0.03,0.14,0.18,-0.03,0.33,306.25,0.10,0.00,0.07
23/11/2022 00:03,3708.21,32.38,0.20,0.17,0.03,0.14,0.18,-0.03,0.33,306.25,0.10,0.00,0.05
23/11/2022 00:04,3703.63,32.38,0.20,0.17,0.03,0.14,0.18,-0.03,0.33,306.25,0.10,0.00,0.07
23/11/2022 00:05,3714.41,32.38,0.20,0.17,0.03,0.14,0.18,-0.03,0.34,306.25,0.10,0.00,0.07
23/11/2022 00:06,3719.54,32.38,0.20,0.17,0.03,0.14,0.18,-0.03,0.34,306.25,0.10,0.00,0.07
23/11/2022 00:07,3719.23,32.38,0.20,0.17,0.03,0.14,0.18,-0.03,0.34,306.25,0.10,0.00,0.07
